node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
169.5440707741743,215.27522696662157,0.005889722549863143,6.767295316176811,7.378845903908633
103.69670616983197,114.03772065982388,28.609567529858886,41.403384722133865,16.917953722257266
102.39675768424964,89.34949683295945,22.526238708225797,86.16908162326679,0.11204670752399652
63.64772719484583,80.04650391467996,42.67134563397856,0.12764702593609403,94.8094804957584
82.80006514281595,143.02177681546655,6.065672103057779,55.422537305790826,77.32807634576719
111.98943443059846,86.1967909736009,13.930223478508253,8.41798890997374,43.33168949772593
60.57793159226079,80.43125530390347,28.26887383562582,9.256998851804099,77.92343629043222
57.72290986813466,34.72494813247189,26.163666782427736,0.8852536925593587,26.965309900831834
141.25340909259566,252.83827354981764,50.34917753959677,35.0440355039303,0.08347141122499249
89.77122809741675,125.50516052407994,8.560076798758725,18.843465153506276,43.701784903093255
225.02016608303745,53.63797577728075,11.409782625360366,84.00028288438286,52.71931736051157
225.3089585093089,59.36083268860579,86.88548747261932,66.10142748762465,8.703434915215201
138.58448623655534,65.58076808281115,3.127086448722011,2.639671032537663,142.17521673575567
316.7107962215117,16.90449758849381,8.973163547395359,37.133204622337324,10.858531153900877
35.69076588567125,151.7160326634205,2.582122083482968,2.8343139997693716,82.75041292870985
137.93047237967966,240.1300265368189,51.82223491378901,10.78520663542562,5.606831102518924
40.595397384535666,57.40909929842657,77.31371883991369,0.1004065142385888,73.39112220059262
26.13630077180896,80.12933275587052,3.779703227050066,33.07712522065349,75.64058919420891
25.870852718741393,237.28625922788837,10.020425444271156,51.74762208585228,13.797906611376984
62.04757747103386,14.68814801304576,5.5885501916007145,0.14354240351231728,2.0224238573457507
80.44922607830141,10.936849273653365,0.003999198388373932,6.298508036570647,64.42965486292606
66.56465990143262,102.56983258090553,0.7913527038615878,0.762299799378015,97.57241835263717
83.19152948920382,4.831314810611365,0.06882437261843297,1.5681288132073097,5.629523022804722
83.43142910544348,181.64310046508618,0.022306834595417695,55.67259971448655,109.85573613277592
72.91292075621591,97.91386250777596,11.77961848896694,5.781721794422471,7.824336258582601
238.8557151760758,62.361286800723875,4.434749973813686,8.060751627125521,10.747687554244896
90.25155546462328,35.028687065237335,2.925290179802557,38.515554377792576,15.985070389042686
74.03812081002054,169.49475174877023,26.679430457236677,10.405196308480448,64.18626004791784
155.47054590006758,34.658202707333736,61.117049857974095,31.421901205134148,75.48562284173008
147.36856714400014,33.605926200809385,9.248450720787549,24.7508855314151,26.356683637584208
108.09708997312607,100.37894128044886,8.689659217230993,26.5834747771898,31.60197865249239
37.50051079234885,43.720333037626304,1.5560808084325906,4.9247109942999145,1.0428867593324906
88.56872144116942,83.08534539487447,0.23630331386924308,19.562460557792818,12.556831166795495
79.58246119462014,35.73931884075137,6.082389481874562,2.0300756807910636,30.701505879988066
35.673209712594186,110.05978325682518,32.633090831171835,21.928215040346213,2.04237163326424
106.46230723387531,23.642259901991544,2.2387217157598283,34.19026076230747,87.54442713026404
7.2073933533037655,14.564904421013944,2.821361926481474,10.051751025162508,57.33318456977443
68.72207690897324,43.54770592609682,9.27959161082374e-05,4.628640649539902,27.287173207436428
23.118657836302205,173.29128397886186,0.8777862297213332,10.470994825326864,26.962091786609875
107.88506193494378,55.44069277144835,6.58717135440539,12.58125085518774,0.584295236722177
69.63028836312185,47.10961396639325,8.095968926801056,23.403449240408932,0.9649608491395163
157.5139530105397,25.339858128486718,0.18660186956628277,0.821964295792936,95.52042364199544
46.770529774417376,1.7156958664724014,29.577219249061734,73.95599616821231,14.058552171082411
37.91366112859869,0.8308202819928314,138.49554557483035,33.24469609883683,208.51997100060936
109.10948903728423,308.5060950181831,54.8350022510859,13.169945546597402,1.1501452183059495
87.18888931564386,21.25004736677165,39.76750614943917,40.74297781174624,1.180903659708989
98.13174859400567,140.69798756808348,45.55746231608395,7.245005189215904,41.80946096300247
93.98200676476078,20.484684097591508,29.214487802080562,2.841851987588639,12.521136655782833
43.52390428343914,20.92955124531965,0.2052620190959544,6.850146038182288,2.7288755432280465
31.489215378919223,25.1755502215063,11.830862543164388,39.83731506802533,28.343854623730113
137.5402488243159,34.54363622663186,21.58771886910277,23.996382903476444,10.110538751678584
12.16494570431376,55.606214646921885,28.620184289737267,21.694257081721965,4.347187504627588
49.719791917319725,3.249284442341501,4.416038686909751,0.16306174793665998,10.784147986193062
32.70795702631893,48.33651491283724,22.5584282623122,28.379580401393632,4.569116647245702
83.53817987855884,127.4969570472372,41.20156889945495,0.0,0.0
